# vehicle_name=artemis
# start_point=x=-100,y=-220
# goal_point=x=210,y=30
# timeout=300
# success_rate=0.92
# avg_planning_time=4.849
# avg_duration=135.839
# total_timeouts=0
# total_collisions=3
# total_planning_fails=1
# avg_min_dist_to_obs=8.796
# min_dist_to_obs=1.25
# avg_dist_traveled=437.846
# avg_path_len=447.956
# avg_dist_eff=0.983
# deviation_limit=5
# avg_total_deviation=146.89
# max_deviation=383.527
# avg_energy_eff=1.063
# avg_total_speed_change=23.113
trial_num,trial_successful,timed_out, planning_failed,planning_time,duration,collision_count,min_dist_to_obs,dist_traveled,path_len,dist_eff,total_deviation,max_deviation,energy_eff,total_speed_change
0,1,0,0,2.34,112.78786,0,11.6,422.5,424.13,0.99616,90.52997,11.98547,1.02202,16.57
1,1,0,0,3.91,152.76234,0,8.91,430.1,435.08,0.98855,55.57411,8.96171,1.03227,22.29
2,1,0,0,5.7,149.95911,0,6.54,426.2,433.98,0.98207,261.1533,188.63647,1.03687,16.37
3,1,0,0,2.56,123.3333,0,inf,411.9,420.48,0.97959,8.55641,6.84625,1.01169,12.63
4,1,0,0,7.27,141.20537,0,7.98,469.9,459.91,1.02172,161.51379,14.56145,1.10656,27.36
5,0,0,1,11.21,118.85411,0,6.28,429,537.99,0.79741,1030.38854,161.10012,1.29443,29.52
6,1,0,0,2.31,115.04364,0,7.83,413.5,415.62,0.9949,75.06135,8.28,1,12.5
7,1,0,0,3.27,137.40323,0,10.14,434.5,434.28,1.00051,7.4741,6.45069,1.02326,19.34
8,1,0,0,4.95,150.07535,0,10.63,466,432.69,1.07698,269.38645,118.6089,1.04107,32.98
9,1,0,0,3.78,120.56357,0,7.88,422.9,427.55,0.98912,2.13,5.33,1.0144,17.44
10,1,0,0,8.14,143.46041,0,10.35,453.5,468.17,0.96867,63.96991,8.66,1.11855,32.3
11,1,0,0,6.17,155.28276,0,9.79,438.6,559.13,0.78443,105.5718,13.08691,1.29949,23.51
12,1,0,0,3.46,158.04012,0,9.07,436.6,426.46,1.02378,25.46601,6.54781,1.02608,22.11
13,1,0,0,3.7,133.17022,0,9.92,454.6,444.06,1.02374,112.18622,8.76446,1.03913,28.43
14,0,0,0,10.12,121.13833,1,0,410.2,428.9,0.9564,188.87889,17.28232,1.00365,19.94
15,1,0,0,3.43,123.64005,0,9.35,428,430.27,0.99472,780.21174,383.52684,1,19.54
16,1,0,0,3.77,153.24346,0,9.81,449.5,433.22,1.03758,78.13135,8.8305,1.03505,25.4
17,1,0,0,8.51,148.502,0,10.76,443,431.18,1.02741,222.59716,223.05708,1.00899,27.16
18,1,0,0,1.78,127.14713,0,8.91,420.2,415.62,1.01102,46.66683,7.27432,1,18.13
19,1,0,0,2.37,140.72285,0,12.15,424.3,415.62,1.02088,121.56719,10.01481,1,17.82
20,1,0,0,5.17,130.14937,0,8.31,447,431.9,1.03496,338.50923,17.90616,1.03917,23.34
21,1,0,0,1.47,129.15487,0,6.04,417.1,422.16,0.98801,576.8535,279.2066,1.01574,23.21
22,1,0,0,4.04,114.82119,0,8.56,429,425.83,1.00744,52.56325,7.07108,1.02457,19.37
23,1,0,0,10.17,206.05893,0,4.78,493.3,482.7,1.02196,608.27778,158.05418,1.0408,40.96
24,1,0,0,2,133.44577,0,15.47,412.4,415.62,0.99225,3.50911,6.48598,1,19.76
25,1,0,0,5.01,129.91724,0,8.92,451.9,449.32,1.00574,77.25303,7.53,1.08108,30.92
26,1,0,0,1.96,110.56052,0,19.94,411.7,415.62,0.99057,0,0,1,15.29
27,1,0,0,7.84,150.50613,0,6.85,462.7,553.04,0.83665,284.76208,14.9874,1.33064,28.12
28,1,0,0,3.65,113.07617,0,7.88,424.8,567.61,0.7484,10.63536,6.33,1.35613,20.57
29,1,0,0,7.89,132.17884,0,6.26,450.5,456.69,0.98645,80.37881,8.56,1.07606,31.51
30,0,0,0,9.78,136.96307,1,0,458.4,446.87,1.0258,76.24744,7.65094,1.07519,26.35
31,1,0,0,4,131.72738,0,4.55,457.7,440.18,1.0398,124.71976,9.70841,1.02303,26.78
32,1,0,0,7.11,144.70954,0,6.03,431.2,429.51,1.00393,38.21977,6.80883,0.97825,27.65
33,1,0,0,9.72,173.83998,0,7.42,477.8,480.4,0.99459,163.5243,11.58654,1.11651,26.65
34,1,0,0,2.19,114.57085,0,11.61,411.3,421.32,0.97622,4.05087,6.28084,1.01371,13.06
35,1,0,0,8.33,162.31739,0,2.56,449.9,453.88,0.99123,42.33849,8.71544,1.09206,29.98
36,1,0,0,7.25,169.12408,0,7.63,445.7,448.6,0.99354,132.34567,12.29216,1.03912,28.13
37,1,0,0,3.91,125.6456,0,4.56,428.9,451.6,0.94973,392.81882,382.08953,1.08657,19.24
38,1,0,0,5.57,149.26761,0,8.11,446.5,446.44,1.00013,31.32284,6.53625,1.07415,25.23
39,1,0,0,5.04,139.75062,0,9.36,435.5,442.65,0.98385,11.20038,6.32,1.00818,21.93
40,1,0,0,4.71,126.64208,0,8.81,436.7,438.43,0.99605,10.00521,6.32703,1.05488,21.55
41,1,0,0,3.76,104.26551,0,10.11,429.8,427.06,1.00642,84.48067,9.24,1.02753,20.78
42,1,0,0,2.26,138.95506,0,9.93,421.1,426.47,0.98741,0.67342,5.67342,1.01184,22.07
43,1,0,0,5.44,104.79622,0,1.25,413,401.12,1.02962,200.01435,23.57969,0.96511,21.98
44,1,0,0,8.71,134.50172,0,11.19,460.8,474.41,0.97131,34.05917,8.25456,1.13346,26.89
45,1,0,0,2.47,109.55034,0,11.47,412.8,420.1,0.98262,377.0236,381.87924,1.01078,13.51
46,1,0,0,4.97,112.57283,0,6.88,430.8,603.19,0.7142,386.9464,382.51422,1.4513,25.11
47,0,0,0,6.39,122.37583,1,0,428.4,429.94,0.99642,257.72295,18.05685,1.02007,23.28
48,1,0,0,5.25,148.25868,0,8.55,448.5,439.84,1.01969,16.13304,7.2766,1.00997,19.99
49,1,0,0,5.73,121.86502,0,11.15,456.7,432.84,1.05512,186.58739,10.18234,1.02695,27.72
