# vehicle_name=artemis
# start_point=x=-100,y=-220
# goal_point=x=210,y=30
# timeout=300
# success_rate=0.66
# avg_planning_time=10.701
# avg_duration=128.136
# total_timeouts=0
# total_collisions=18
# total_planning_fails=1
# avg_min_dist_to_obs=5.487
# min_dist_to_obs=1.23
# avg_dist_traveled=424.939
# avg_path_len=406.687
# avg_dist_eff=1.045
# deviation_limit=5
# avg_total_deviation=540.951
# max_deviation=31.891
# avg_energy_eff=1
# avg_total_speed_change=18.536
trial_num,trial_successful,timed_out, planning_failed,planning_time,duration,collision_count,min_dist_to_obs,dist_traveled,path_len,dist_eff,total_deviation,max_deviation,energy_eff,total_speed_change
0,1,0,0,11.21,120.37489,0,1.23,431.8,403.08,1.07125,757.39695,17.83632,1,20.57
1,0,0,0,10.36,149.93248,1,0,442.5,419.67,1.0544,278.0977,14.53166,1,21.1
2,0,0,0,10.35,152.68677,1,0,439.6,398.25,1.10383,798.14057,15.26253,1,20.24
3,1,0,0,10.09,112.12825,0,7.64,403.2,399.29,1.00979,66.64747,8.45092,1,14.95
4,0,0,0,10.05,102.88294,1,0,414.4,403.17,1.02785,388.7036,11.41197,1,15.73
5,1,0,0,9.81,132.17025,0,9.87,408.8,398.48,1.0259,560.20953,12.95994,1,14.8
6,1,0,0,10.1,127.41718,0,3.35,417.1,398.26,1.04731,559.2162,14.36327,1,21.78
7,0,0,0,10.34,139.17453,1,0.4,467.9,440.28,1.06273,1452.13972,19.96796,1,16.92
8,1,0,0,10.59,125.39771,0,5.69,409.3,398.25,1.02775,382.26626,13.78375,1,16.38
9,1,0,0,10.31,165.46299,0,7.46,520,417.83,1.24453,2783.36593,28.14111,1,26.34
10,1,0,0,11.97,141.18549,0,9.99,441.5,416.91,1.05898,344.65944,10.23869,1,21.21
11,1,0,0,11.13,117.90197,0,8.89,406.9,403.05,1.00955,138.42931,10.22866,1,16.55
12,1,0,0,10.67,133.15617,0,3.43,412.5,398.25,1.03578,340.05768,11.34016,1,18.07
13,0,0,0,10.68,139.93551,2,0,437.8,405.1,1.08072,589.67406,17.64468,1,26.17
14,1,0,0,11.21,140.17285,0,8.96,416.8,414.82,1.00477,19.33872,6.44693,1,16.6
15,0,0,0,10.35,118.63452,1,0,412.5,398.27,1.03573,279.79641,13.30279,1,21.8
16,1,0,0,11.43,127.13931,0,6.44,407,399.83,1.01793,68.12267,7.2695,1,16.9
17,0,0,1,0,8.75865,0,inf,3.1,0,inf,0,0,-nan,0
18,1,0,0,12.46,117.14274,0,2.1,430.2,416.97,1.03173,449.85912,16.91448,1,15.13
19,1,0,0,10.36,112.13095,0,5.23,423.9,406.54,1.0427,889.3767,20.38864,1,23.51
20,1,0,0,10.65,129.67078,0,8.65,411.1,398.5,1.03162,20.61245,6.67141,1,12.29
21,0,0,0,10.39,126.16555,1,0,413.3,398.25,1.03779,410.26364,16.75063,1,19.68
22,1,0,0,11.22,127.91702,0,4.13,410.3,398.25,1.03026,474.66986,12.5426,1,15.88
23,1,0,0,11.18,122.14727,0,7.76,419.3,406.16,1.03235,426.12102,13.24581,1,19.24
24,1,0,0,10.33,160.67941,0,2.48,436.6,416.29,1.04879,683.62447,12.59324,1,33.77
25,1,0,0,10.93,123.91351,0,1.41,422.6,407.3,1.03756,504.66713,15.1298,1,20.59
26,0,0,0,10.64,127.1645,1,0,405.9,398.25,1.01921,484.15141,15.90259,1,27.25
27,1,0,0,10.65,107.8845,0,4.81,403.5,400.29,1.00802,18.62699,6.25339,1,13.11
28,0,0,0,9.81,107.11906,1,0,401.2,399.39,1.00453,4.65757,5.54536,1,13
29,0,0,0,10.61,198.99225,1,0,501.2,435.71,1.15031,1549.00503,17.56069,1,34.46
30,1,0,0,10.1,143.67022,0,5.04,433.3,426.31,1.0164,65.71228,6.77803,1,21.69
31,1,0,0,9.78,117.89177,0,6.12,418.6,412.71,1.01427,183.33654,11.75688,1,17.11
32,1,0,0,10.65,119.63731,0,6.12,425.7,401.57,1.06009,615.66376,11.63907,1,19.2
33,0,0,0,10.64,180.44912,1,0,512.1,398.25,1.28588,2573.31599,33.81225,1,36.4
34,0,0,0,11.49,150.18913,1,0,417.3,398.25,1.04783,223.15585,10.48046,1,24.92
35,1,0,0,11.5,118.90704,0,3.22,410.3,398.25,1.03026,156.72602,10.74632,1,11.59
36,0,0,0,10.05,122.16347,1,0.11,411.2,398.25,1.03252,370.92792,14.22921,1,12.42
37,0,0,0,10.36,165.19712,1,0,532.8,437.25,1.21852,2717.87972,29.74529,1,28.11
38,0,0,0,14.64,183.24588,2,0,554,433.29,1.27859,4072.65524,28.81558,1,35.44
39,1,0,0,10.08,123.66835,0,6.15,419,412.57,1.01559,244.85654,11.65136,1,16.11
40,1,0,0,10.09,131.91532,0,1.43,443.2,432.56,1.0246,243.97603,13.63645,1,20.32
41,1,0,0,11.81,131.16259,0,5.45,425.6,402.82,1.05655,547.89356,15.75864,1,20.32
42,0,0,0,10.06,104.37191,1,0.8,422,422.63,0.99851,101.05019,8.34926,1,10.51
43,1,0,0,11.49,116.8974,0,2.18,422.9,411.03,1.02888,83.76505,7.05855,1,14.37
44,1,0,0,10.82,142.68435,0,2.74,457.2,403.35,1.13351,1676.31829,30.92599,1,26.29
45,1,0,0,10.11,111.1263,0,1.29,425.3,416.86,1.02025,182.18717,12.77564,1,17.38
46,1,0,0,10.7,133.16561,0,10.43,411.6,398.72,1.0323,179.24397,11.3528,1,14.12
47,1,0,0,10.08,118.65661,0,7.42,422.8,402.83,1.04957,1134.00217,22.03008,1,16.43
48,1,0,0,10.08,130.93152,0,7.03,421.4,398.37,1.05781,813.40486,19.80792,1,19.56
49,1,0,0,9.55,144.1658,0,6.94,453.7,404.38,1.12196,2237.03779,31.89111,1,19.52
