# vehicle_name=artemis
# start_point=x=-100,y=-220
# goal_point=x=210,y=30
# timeout=300
# success_rate=0.76
# avg_planning_time=0
# avg_duration=109.758
# total_timeouts=0
# total_collisions=14
# total_planning_fails=0
# avg_min_dist_to_obs=5.134
# min_dist_to_obs=1.39
# avg_dist_traveled=412.061
# avg_path_len=398.25
# avg_dist_eff=1.035
# deviation_limit=5
# avg_total_deviation=3804.57
# max_deviation=57.553
# avg_energy_eff=1
# avg_total_speed_change=10.042
trial_num,trial_successful,timed_out,planning_failed,planning_time,duration,collision_count,min_dist_to_obs,dist_traveled,path_len,dist_eff,total_deviation,max_deviation,energy_eff,total_speed_change
0,1,0,0,0,111.77034,0,12.35,399.3,398.25,1.00264,982.41458,15.27347,1,5.5
1,0,0,0,0,113.82217,1,0,407.3,398.25,1.02272,4931.44758,34.87567,1,11.66
2,1,0,0,0,99.75632,0,4.87,402.1,398.25,1.00967,2510.54198,19.21801,1,9.88
3,1,0,0,0,121.61908,0,8.93,416.8,398.25,1.04658,1383.85266,26.04545,1,11.68
4,0,0,0,0,93.22902,1,0,405.9,398.25,1.01921,3306.73561,26.58029,1,7.87
5,0,0,0,0,129.90452,2,0,407.6,398.25,1.02348,3795.87602,25.24393,1,10.51
6,1,0,0,0,119.1013,0,5.46,414.3,398.25,1.0403,1940.02025,20.27841,1,12.15
7,1,0,0,0,85.42718,0,2.83,399.5,398.25,1.00314,348.84999,9.5107,1,10.12
8,0,0,0,0,100.98884,1,0,415.3,398.25,1.04281,4033.42581,33.4572,1,15.63
9,1,0,0,0,94.21672,0,9.42,413.7,398.25,1.03879,7987.72749,44.22943,1,6.53
10,1,0,0,0,105.53546,0,5.36,395.3,398.25,0.99259,0,0,1,7.74
11,1,0,0,0,112.32396,0,2.36,413.1,398.25,1.03729,9756.6288,44.95913,1,11.11
12,1,0,0,0,105.5401,0,6.52,410.2,398.25,1.03001,6470.54316,29.3522,1,11.87
13,1,0,0,0,117.10871,0,5.36,399,398.25,1.00188,2395.28369,18.38511,1,8.55
14,1,0,0,0,131.15338,0,2.4,442.7,398.25,1.11161,6674.56227,49.10255,1,16.15
15,1,0,0,0,93.72496,0,3.42,409.3,398.25,1.02775,5147.42299,31.83433,1,8.12
16,1,0,0,0,97.98751,0,1.7,404.6,398.25,1.01594,1426.6735,19.86686,1,11.04
17,1,0,0,0,102.02482,0,5.66,400.4,398.25,1.0054,656.19566,10.82647,1,6.61
18,1,0,0,0,98.71508,0,3.86,401.8,398.25,1.00891,1330.00417,17.06583,1,8.52
19,1,0,0,0,102.00825,0,3.98,400.5,398.25,1.00565,1463.22241,16.89006,1,8.4
20,1,0,0,0,107.78999,0,5.44,405.3,398.25,1.0177,4714.95268,33.21262,1,8.47
21,1,0,0,0,100.50393,0,1.39,403.2,398.25,1.01243,822.48236,16.64046,1,9.58
22,1,0,0,0,123.86532,0,7.42,421.4,398.25,1.05813,2462.83598,24.60965,1,12.95
23,1,0,0,0,144.9847,0,6.17,461.6,398.25,1.15907,5286.39635,30.76991,1,13.95
24,0,0,0,0,95.78293,1,0.18,401.7,398.25,1.00866,104.28901,8.10931,1,11.95
25,0,0,0,0,148.504,1,0.64,436.8,398.25,1.0968,4942.62758,43.19615,1,15.2
26,0,0,0,0,89.72868,1,0.42,406.1,398.25,1.01971,3704.85794,32.54369,1,10.51
27,1,0,0,0,145.26022,0,3.05,445.3,398.25,1.11814,4986.53788,24.79873,1,14.97
28,1,0,0,0,154.78983,0,6.07,404.6,398.25,1.01594,6655.91761,30.448,1,9.81
29,0,0,0,0,110.5683,2,0,403.6,398.25,1.01343,935.24934,13.72694,1,11.76
30,0,0,0,0,113.32292,1,0,412,398.25,1.03453,1321.48394,15.77642,1,12.81
31,1,0,0,0,105.28486,0,6.22,408.7,398.25,1.02624,1069.98593,11.69955,1,9.62
32,1,0,0,0,120.60845,0,2.68,428.9,398.25,1.07696,12266.8149,57.55335,1,10.8
33,1,0,0,0,106.2811,0,7.78,402.2,398.25,1.00992,4246.62316,24.61292,1,8.24
34,1,0,0,0,98.25667,0,2.93,399,398.25,1.00188,2391.56525,19.65342,1,9.01
35,1,0,0,0,104.54896,0,4.18,435.9,398.25,1.09454,4673.97931,39.60716,1,13.86
36,1,0,0,0,104.53875,0,3.68,398,398.25,0.99937,185.48151,10.42119,1,9.29
37,1,0,0,0,98.24621,0,2.43,420.4,398.25,1.05562,9050.05728,51.07193,1,11.84
38,1,0,0,0,91.71069,0,5.96,406.6,398.25,1.02097,5001.93023,30.45227,1,9.17
39,1,0,0,0,117.08593,0,7.22,404.6,398.25,1.01594,438.46592,11.85021,1,8.29
40,0,0,0,0,87.95063,1,0,399.6,398.25,1.00339,1149.31358,16.52119,1,8.78
41,1,0,0,0,95.73075,0,1.73,402.7,398.25,1.01117,4015.07095,32.05279,1,8.86
42,0,0,0,0,106.29323,1,0,400.5,398.25,1.00565,353.40363,11.92855,1,13.69
43,1,0,0,0,122.11567,0,8.09,414.8,398.25,1.04156,3708.9719,33.7879,1,9.3
44,0,0,0,0,115.57567,1,0,409.9,398.25,1.02925,4161.7844,34.91584,1,11.77
45,1,0,0,0,95.22747,0,2.77,412.1,398.25,1.03478,1752.70074,16.38308,1,12.8
46,1,0,0,0,110.07092,0,5.72,402.1,398.25,1.00967,4487.44119,27.94051,1,8.45
47,1,0,0,0,138.70104,0,5.13,455,398.25,1.1425,8626.89281,54.17152,1,14.67
