# vehicle_name=artemis
# start_point=x=-50,y=-235
# goal_point=x=175,y=20
# timeout=300
# success_rate=0.88
# avg_planning_time=8.714
# avg_duration=163.329
# total_timeouts=0
# total_collisions=2
# total_planning_fails=5
# avg_min_dist_to_obs=6.881
# min_dist_to_obs=1.09
# avg_dist_traveled=546.714
# avg_path_len=584.737
# avg_dist_eff=0.951
# deviation_limit=5
# avg_total_deviation=251.478
# max_deviation=329.314
# avg_energy_eff=1.149
# avg_total_speed_change=28.22
trial_num,trial_successful,timed_out,planning_failed,planning_time,duration,collision_count,min_dist_to_obs,dist_traveled,path_len,dist_eff,total_deviation,max_deviation,energy_eff,total_speed_change
0,1,0,0,8.31,155.53451,0,1.25,534.5,537.1,0.99516,555.12424,16.25598,1.09329,30.67
1,1,0,0,8.19,176.70865,0,7.72,587.3,616.78,0.9522,177.77353,16.48464,1.12479,26.46
2,1,0,0,5.74,202.30819,0,8.7,510.8,497.13,1.0275,57.61979,7.37512,1,28.68
3,1,0,0,6.46,128.42057,0,4.43,490.1,495.9,0.9883,20.59838,7.32145,1.01546,28.2
4,1,0,0,12.14,168.60818,0,7.5,581.6,580.97,1.00108,49.06644,7.53788,1.10066,28.53
5,0,0,1,7.67,139.90162,0,8.54,451.2,552.82,0.81618,854.08641,28.49212,1.11586,28.32
6,1,0,0,6.5,156.51942,0,8.26,552.3,551.34,1.00174,18.39091,6.38847,1.02741,21.32
7,1,0,0,9,163.3639,0,10.49,527.3,525.38,1.00365,7.79877,6.78895,1.06943,23.97
8,1,0,0,8.26,160.10189,0,7.29,563.4,808.65,0.69672,269.07279,12.1,1.58696,28.03
9,1,0,0,7.78,139.44538,0,7.95,511.4,510.49,1.00178,38.20526,8.90955,1.03296,20.69
10,1,0,0,6.31,141.19239,0,6.95,493.6,497.89,0.99138,68.57964,8.67,1.01348,22.26
11,1,0,0,6.09,148.22823,0,7.81,499,502.36,0.99331,71.76041,7.32487,1.01052,23.51
12,1,0,0,22.12,217.14724,0,2.41,658.3,777.48,0.84671,858.34334,18.54742,1.53095,47.36
13,1,0,0,7.72,186.96078,0,8.53,619.6,612.25,1.012,1035.95514,318.54788,1.04367,28.15
14,1,0,0,6.86,187.94082,0,4.94,534.2,525.46,1.01663,658.0282,329.31422,1.03019,30.76
15,1,0,0,7.52,165.09925,0,5.7,549.4,558.58,0.98357,370.19709,14.64626,1.11814,32.34
16,1,0,0,14.83,217.4279,0,5.39,620.4,761.78,0.81441,626.6918,15.63114,1.53236,36.67
17,1,0,0,6.19,137.94824,0,9.81,494.3,494.94,0.99871,94.23716,8.22365,1.00747,19.46
