# vehicle_name=artemis
# start_point=x=-50,y=-235
# goal_point=x=175,y=20
# timeout=300
# success_rate=0.64
# avg_planning_time=10.603
# avg_duration=159.648
# total_timeouts=2
# total_collisions=13
# total_planning_fails=4
# avg_min_dist_to_obs=5.135
# min_dist_to_obs=1.27
# avg_dist_traveled=525.794
# avg_path_len=471.697
# avg_dist_eff=1.115
# deviation_limit=5
# avg_total_deviation=1507.403
# max_deviation=49.749
# avg_energy_eff=1
# avg_total_speed_change=24.402
trial_num,trial_successful,timed_out,planning_failed,planning_time,duration,collision_count,min_dist_to_obs,dist_traveled,path_len,dist_eff,total_deviation,max_deviation,energy_eff,total_speed_change
0,0,0,0,10.6,187.47286,2,0,630.6,531.74,1.18592,3617.53663,31.15481,1,35.25
1,1,0,0,10.07,175.73744,0,4.04,610.9,575.02,1.0624,739.29741,11.52134,1,25.86
2,1,0,0,10.01,152.92623,0,5.75,482.2,443.62,1.08697,823.52606,13.58759,1,19.95
3,0,0,1,0,8.75864,0,inf,3,0,inf,0,0,-nan,0
4,1,0,0,9.8,245.06348,0,1.42,756.4,524.98,1.44082,8070.80256,48.13712,1,44.62
5,0,0,0,10.58,175.49214,1,0,548.3,470.49,1.16538,3395.45213,36.92644,1,35.57
6,1,0,0,10.84,165.71576,0,8.18,544.5,449.39,1.21164,908.31597,15.38343,1,28.63
7,1,0,0,10.04,151.43531,0,8.72,487.8,459.56,1.06145,422.46314,11.62997,1,20.57
8,0,0,0,10.58,161.69059,1,0,504.5,468.55,1.07673,449.76712,12.91874,1,26.98
9,1,0,0,10.29,147.43629,0,1.36,496.3,475.12,1.04458,239.72338,11.7849,1,17.46
10,1,0,0,10.06,122.40527,0,7.56,465.4,453.25,1.02681,237.53279,11.89195,1,20.9
11,0,1,0,11.18,300.0915,0,5,496.2,435.4,1.13964,17884.91088,36.26019,1,64.31
12,1,0,0,10.3,172.47873,0,8.18,598.6,494.96,1.20939,3106.78623,34.81458,1,28.91
13,0,0,0,11.1,156.47366,1,0,576,498.75,1.15489,4185.27822,34.86766,1,29.31
14,0,1,0,9.82,300.11737,0,7.08,449.7,485.5,0.92626,16965.72918,50.93523,1,80.2
15,0,0,1,0,8.75939,0,inf,18.5,0,inf,0,0,-nan,2.16
16,1,0,0,10.02,137.94136,0,1.62,471.7,469.19,1.00535,177.82838,9.67495,1,17.24
17,0,0,0,10.32,211.77042,1,0,726.4,598.91,1.21287,2892.84517,24.49165,1,39.08
18,1,0,0,10.59,196.73482,0,7.38,602.7,431.02,1.39831,5081.43055,48.57716,1,34.31
19,1,0,0,11.39,131.14737,0,1.56,481.6,460.19,1.04652,605.38549,14.03904,1,17.14
20,1,0,0,11.6,133.65605,0,8.64,474.9,459.4,1.03374,352.70575,12.64927,1,21.84
21,1,0,0,10.04,181.71987,0,1.9,523.3,435.97,1.20031,3246.70928,38.27558,1,28.02
22,1,0,0,11.6,169.95274,0,5.63,530.2,484.26,1.09487,1037.46428,14.54503,1,21.91
23,1,0,0,10.08,143.94537,0,5.85,456.2,425.41,1.07238,418.81669,10.91613,1,17.85
24,1,0,0,11.09,181.25354,0,9.91,499.8,438.81,1.13899,1826.34945,16.16552,1,23.13
25,1,0,0,10.31,148.93341,0,6.61,541.1,510.81,1.0593,427.37068,13.42335,1,26.33
26,0,0,0,11.7,160.96951,1,0,502.5,461.3,1.08931,1062.96765,14.4937,1,22.72
27,0,0,0,9.84,159.96828,1,0,550.1,517.68,1.06263,1342.96646,17.11886,1,24.47
28,1,0,0,10.33,147.17222,0,7.78,490.2,474.72,1.03261,229.88986,8.49883,1,18.51
29,0,0,0,10.31,144.42219,1,0,519.4,485.66,1.06947,1571.20659,29.94235,1,23.54
30,0,0,0,10.8,179.22338,1,0,589.7,438.67,1.34429,3725.53617,32.43446,1,35.65
31,1,0,0,11.06,154.18905,0,6.01,467,441.73,1.05721,197.35551,9.99671,1,17.51
32,1,0,0,10.08,159.18963,0,5.39,535.4,444.24,1.2052,3152.26294,33.68829,1,28.03
33,1,0,0,10.57,151.67851,0,1.27,485.9,449.57,1.08081,1135.77991,17.31627,1,23.45
34,1,0,0,11.11,206.50519,0,1.81,648.1,498.09,1.30117,6941.22844,49.74861,1,35.63
35,1,0,0,11.18,142.17917,0,1.64,471.6,422.46,1.11632,1923.06254,21.74851,1,22.44
36,1,0,0,9.53,146.92253,0,3.18,469.2,426.44,1.10027,1123.98664,16.10985,1,25.74
37,1,0,0,10.34,169.47146,0,1.83,550.5,475.82,1.15695,1415.89391,25.16291,1,31.58
38,1,0,0,10.56,134.68705,0,7.1,470.7,432.4,1.08858,948.27789,18.68364,1,23.79
39,0,0,0,11.56,152.19671,1,0,523.4,486.81,1.07516,908.29751,20.17844,1,24.34
40,1,0,0,10.29,195.52048,0,1.68,604.4,549.47,1.09997,1155.82276,15.27975,1,33.58
41,1,0,0,12.98,134.69549,0,9.58,465.1,438.91,1.05967,567.19401,17.22194,1,17.76
42,1,0,0,10.33,177.46494,0,1.95,587.1,564.81,1.03946,688.51577,19.10933,1,28.19
43,0,0,1,0,8.76093,0,inf,5,0,inf,0,0,-nan,0
44,1,0,0,11.33,131.66012,0,6.01,470.2,435.22,1.08037,583.89053,13.2347,1,19.39
45,1,0,0,10.32,173.23704,0,7.64,621.5,608.88,1.02073,208.93733,10.34435,1,19.48
46,1,0,0,11.15,125.67546,0,7.13,464.9,440.59,1.05518,242.28786,13.06858,1,21.1
47,0,0,1,0,8.75927,0,inf,3.4,0,inf,0,0,-nan,0
48,0,0,0,18.89,159.44534,1,0,529.7,458.94,1.15418,2162.91736,31.80144,1,25.15
49,0,0,0,10.56,151.71532,1,0,481.5,448.44,1.07372,583.25768,12.17601,1,29.53
