# vehicle_name=artemis
# start_point=x=-50,y=-235
# goal_point=x=175,y=20
# timeout=300
# success_rate=0.68
# avg_planning_time=0
# avg_duration=161.316
# total_timeouts=0
# total_collisions=21
# total_planning_fails=0
# avg_min_dist_to_obs=4.296
# min_dist_to_obs=1.08
# avg_dist_traveled=589.418
# avg_path_len=561.093
# avg_dist_eff=1.051
# deviation_limit=5
# avg_total_deviation=2893.728
# max_deviation=54.802
# avg_energy_eff=1
# avg_total_speed_change=15.992
trial_num,trial_successful,timed_out,planning_failed,planning_time,duration,collision_count,min_dist_to_obs,dist_traveled,path_len,dist_eff,total_deviation,max_deviation,energy_eff,total_speed_change
0,1,0,0,0,138.93713,0,3.06,569.2,560.66,1.01523,1732.29542,17.61638,1,14.2
1,1,0,0,0,143.70107,0,6.07,570.4,560.85,1.01703,1128.2542,19.03584,1,12.5
2,1,0,0,0,152.01562,0,1.08,586.8,562.86,1.04253,3232.0024,24.28378,1,19.12
3,1,0,0,0,146.26022,0,5.38,609.3,561.88,1.0844,5508.46785,40.67827,1,16.37
4,1,0,0,0,160.61837,0,5.99,608,558.44,1.08875,3845.53922,23.3823,1,16.7
5,1,0,0,0,138.23083,0,3.4,575.3,562.57,1.02263,2702.01754,21.47321,1,16.75
6,0,0,0,0,157.08437,1,0,577,559.61,1.03108,313.7529,11.24917,1,13.5
7,1,0,0,0,160.84107,0,7.57,581,562.02,1.03377,1652.0378,14.40248,1,15.09
8,1,0,0,0,141.50234,0,4.59,569.9,561.86,1.01431,2965.98387,31.49843,1,12.62
9,1,0,0,0,199.24422,0,1.85,671,560.92,1.19625,7112.29159,54.80212,1,27.03
10,1,0,0,0,166.09618,0,4.5,571.1,558.91,1.02181,514.48353,10.84639,1,14.95
11,1,0,0,0,173.37501,0,2.86,576.1,561.75,1.02555,2166.09884,15.53463,1,16.25
12,1,0,0,0,156.53409,0,2.16,586.7,559.3,1.04899,2022.98512,25.82029,1,14.15
13,1,0,0,0,197.5206,0,2.87,694.6,560.83,1.23852,6632.51672,32.29704,1,22.36
14,1,0,0,0,149.99777,0,6.51,571.5,563.3,1.01456,2265.50337,19.67449,1,12.4
15,0,0,0,0,172.11833,1,0,605.7,561.42,1.07887,3462.94242,24.78897,1,16.83
16,1,0,0,0,165.35266,0,7.48,594,559.14,1.06235,2832.87631,40.01955,1,15.22
17,0,0,0,0,156.04433,1,0,579.7,562.54,1.0305,1981.33846,22.80993,1,16.47
18,1,0,0,0,216.84231,0,1.3,640.1,559.27,1.14453,3251.64309,21.48592,1,22.11
19,0,0,0,0,150.99856,1,0,576.8,560.5,1.02908,434.99262,11.84813,1,17.58
20,1,0,0,0,192.72814,0,2.71,580.6,562.58,1.03203,3742.97141,23.93405,1,15.35
21,0,0,0,0,161.31784,2,0,590.9,560.73,1.0538,4456.07391,25.17578,1,20.29
22,0,0,0,0,157.82551,1,0,596.7,560.16,1.06523,2124.69515,14.34243,1,21.32
23,1,0,0,0,146.06134,0,2.93,562.7,564.01,0.99768,2293.76599,18.80567,1,12.05
24,0,0,0,0,162.35218,2,0.39,591.1,563.64,1.04872,435.19323,11.94358,1,19.57
25,1,0,0,0,165.34879,0,2.25,575.5,561.57,1.02481,2918.46506,21.26467,1,16.74
26,1,0,0,0,166.73831,0,5.77,588.8,560.53,1.05043,4202.02107,28.57287,1,16.64
27,1,0,0,0,142.50934,0,2.63,561,558.09,1.00521,958.23743,11.11073,1,10.01
28,1,0,0,0,168.37322,0,5.46,570.9,562.02,1.0158,1781.68374,23.81131,1,12.72
29,0,0,0,0,145.24497,3,0,599.4,559.69,1.07095,3072.18228,30.26594,1,19.02
30,0,0,0,0,175.65098,1,0,639.1,563.31,1.13454,7982.56778,51.27973,1,20.2
31,1,0,0,0,143.49698,0,3.47,576,560.13,1.02833,1031.88556,19.49511,1,16.65
32,0,0,0,0,150.76165,1,0.42,590.9,560.06,1.05507,1247.08477,17.46517,1,18.94
33,1,0,0,0,168.10189,0,7.4,576.1,559.39,1.02987,4340.02314,28.73501,1,11.16
34,0,0,0,0,188.69245,1,0,637.3,560.81,1.13639,2008.4195,24.04789,1,24.15
35,0,0,0,0,152.25729,1,0,593.2,562.81,1.054,1543.2161,19.6566,1,16.51
36,0,0,0,0,147.97471,1,0.73,586,562.02,1.04267,3626.91718,37.01676,1,15.88
37,1,0,0,0,156.29757,0,8.43,565.2,560.43,1.00851,515.98777,10.7507,1,14.67
38,1,0,0,0,153.7821,0,3.51,600.5,559.7,1.0729,3809.60731,28.22938,1,17.57
39,0,0,0,0,155.01462,1,0,593.9,560.88,1.05887,4088.12989,25.62149,1,19.68
40,1,0,0,0,163.33336,0,8.3,577.4,561.67,1.02801,3033.7844,26.76882,1,14.48
41,1,0,0,0,148.77341,0,6.75,558.4,561.54,0.99441,34.48321,6.5186,1,11.65
42,1,0,0,0,144.97433,0,4.15,580.7,562.7,1.03199,2642.31653,26.47006,1,14.31
43,0,0,0,0,160.33999,2,0.24,618.7,559.72,1.10537,7952.21777,54.17466,1,16.76
44,1,0,0,0,157.05082,0,1.6,575.8,562,1.02456,3519.25238,25.66127,1,17.26
45,1,0,0,0,159.82499,0,2.16,580.9,560.49,1.03641,2594.83373,27.77156,1,16.94
46,1,0,0,0,158.05076,0,3.93,566.8,563.25,1.0063,734.26804,11.48982,1,14.82
47,1,0,0,0,159.81306,0,4.75,641.5,560.51,1.14449,7153.69694,51.34819,1,19.77
48,1,0,0,0,182.40042,0,3.21,626.4,561.98,1.11463,3514.47065,30.55772,1,23.12
49,0,0,0,0,153.7358,1,0,576.6,560.43,1.02885,2720.69268,31.94753,1,21.68
