# vehicle_name=artemis
# start_point=x=-75,y=-300
# goal_point=x=175,y=-300
# timeout=300
# success_rate=0.66
# avg_planning_time=6.707
# avg_duration=156.99
# total_timeouts=0
# total_collisions=14
# total_planning_fails=5
# avg_min_dist_to_obs=6.559
# min_dist_to_obs=2.07
# avg_dist_traveled=522.036
# avg_path_len=567.296
# avg_dist_eff=0.954
# deviation_limit=5
# avg_total_deviation=178.664
# max_deviation=223.676
# avg_energy_eff=1.183
# avg_total_speed_change=29.931
trial_num,trial_successful,timed_out, planning_failed,planning_time,duration,collision_count,min_dist_to_obs,dist_traveled,path_len,dist_eff,total_deviation,max_deviation,energy_eff,total_speed_change
0,0,0,0,7.94,154.26123,1,0.09,525.4,526.06,0.99875,79.81809,8.83176,1.08323,30.06
1,1,0,0,5.25,159.28665,0,5.35,516.7,531.5,0.97215,212.88949,16.00389,1.12845,33.44
2,1,0,0,4.09,144.98459,0,5.31,478.9,478.16,1.00155,27.79706,8.62402,1.0152,24.24
3,1,0,0,7.12,161.58362,0,9.64,547.4,542.4,1.00922,75.68717,9.16,1.08263,26.6
4,0,0,1,6.6,135.71346,0,2.88,432.5,580.91,0.74452,436.79392,18.90699,1.21511,32.03
5,0,0,0,10.55,142.50087,1,0,495.9,498.14,0.9955,260.31553,15.54221,1.01558,35.84
6,1,0,0,6.91,160.54185,0,2.87,499.7,496.43,1.00659,38.71035,6.72757,1.04748,27
7,1,0,0,6.96,164.82503,0,5.82,558.4,612.03,0.91237,469.59967,15.56613,1.19605,36.55
8,1,0,0,5.5,143.18417,0,4.65,493.1,494.1,0.99798,165.82334,9.69,1.0399,26.72
9,1,0,0,7.88,178.90368,0,5.28,537,557.24,0.96368,380.34616,16.92454,1.1831,41.71
10,1,0,0,3.63,131.67293,0,6.7,474.7,476.18,0.99689,270.17152,223.67592,1.00706,26.66
11,1,0,0,5.34,212.08005,0,2.79,549.5,537.84,1.02168,261.80386,14.67595,1.14191,36.95
12,1,0,0,5,157.06285,0,9.38,492.2,474.55,1.03719,41.89862,7.1353,1.00754,31.19
13,0,0,0,18.96,179.15949,1,0.32,558.9,647.24,0.86351,782.98285,27.37448,1.37418,43.24
14,1,0,0,7.56,156.53701,0,8.85,521.8,716.55,0.72821,205.09964,10.3,1.49347,27.55
15,0,0,0,6.3,171.60201,1,0,491.3,495.53,0.99146,193.53938,13.71267,1.05208,36.47
16,1,0,0,3.9,136.92286,0,4.86,474.7,469.18,1.01177,42.20513,7.84,0.99614,27.23
17,1,0,0,5.99,139.21884,0,7.13,516.4,516.49,0.99983,18.4183,6.75,1.09658,26.9
18,1,0,0,7.78,132.70881,0,6.47,491.4,502.22,0.97846,29.92528,7.56372,1.06628,28.39
19,1,0,0,6.51,152.2523,0,7.79,529.2,552.08,0.95856,250.6989,16.83601,1.17214,34.48
