# vehicle_name=artemis
# start_point=x=-75,y=-300
# goal_point=x=175,y=-300
# timeout=300
# success_rate=0.46
# avg_planning_time=10.644
# avg_duration=143.706
# total_timeouts=0
# total_collisions=32
# total_planning_fails=3
# avg_min_dist_to_obs=5.367
# min_dist_to_obs=2.68
# avg_dist_traveled=486.304
# avg_path_len=455.695
# avg_dist_eff=1.069
# deviation_limit=5
# avg_total_deviation=869.087
# max_deviation=39.369
# avg_energy_eff=1
# avg_total_speed_change=22.443
trial_num,trial_successful,timed_out, planning_failed,planning_time,duration,collision_count,min_dist_to_obs,dist_traveled,path_len,dist_eff,total_deviation,max_deviation,energy_eff,total_speed_change
0,1,0,0,11.34,129.12192,0,7.94,465.1,425.23,1.09376,1993.99029,33.81097,1,19.11
1,1,0,0,11.55,149.69531,0,4.12,475.2,462.68,1.02706,430.62018,14.63947,1,18.65
2,1,0,0,11.86,150.17791,0,4.11,505,451.26,1.11909,2222.66787,29.32424,1,22.69
3,1,0,0,10.54,135.64255,0,9.8,461.1,448.41,1.0283,265.19376,9.63897,1,21.27
4,1,0,0,10.05,135.15718,0,9.27,442.4,414.19,1.06811,979.75422,15.8674,1,19.57
5,0,0,1,0,8.76013,0,inf,7.5,0,inf,0,0,-nan,0
6,1,0,0,11.64,162.69918,0,3.59,513.4,447.91,1.14621,1440.45549,21.87769,1,33.97
7,0,0,0,9.81,137.42157,1,0.67,496,450.02,1.10217,1734.66887,27.65916,1,24.49
8,1,0,0,10.07,118.13888,0,4.84,440.5,422.1,1.04359,326.20023,13.53336,1,21.98
9,1,0,0,9.82,154.17568,0,3.48,532.1,519.84,1.02358,62.49483,7.5386,1,28.05
10,0,0,1,0,9.01144,0,inf,2.9,0,inf,0,0,-nan,0
11,0,0,0,10.56,178.72012,1,0,509.6,438.19,1.16297,1644.3711,25.73334,1,26.81
12,1,0,0,11.33,145.93214,0,4.66,478.8,445.82,1.07398,744.52717,11.90232,1,24.63
13,0,0,0,19.31,169.44576,1,0,521.2,480.67,1.08432,953.06114,12.70175,1,18.41
14,0,0,0,10.31,203.47782,2,0,558,424.36,1.31492,4542.69382,29.41691,1,37.68
15,0,0,0,11.05,150.17407,1,0,512.4,421.98,1.21428,3072.99499,36.09892,1,24.8
16,0,0,0,10.05,179.47089,3,0,551.4,422.66,1.30459,4356.10793,32.1821,1,40.15
17,0,0,0,10.83,140.93234,1,0,438.9,420.8,1.04301,539.1048,10.17618,1,25.6
18,0,0,0,10.28,167.95091,1,0,490.9,445.46,1.10201,1364.72048,22.36433,1,26
19,0,0,0,10.58,153.42229,1,0,517.7,470.54,1.10023,2676.10993,31.43348,1,26.15
20,0,0,0,10.31,142.91296,1,0,468.8,433.31,1.0819,1300.93685,23.10389,1,26.56
21,1,0,0,10.01,137.65978,0,5.3,462.2,454.02,1.01802,80.8727,8.01112,1,19.43
22,0,0,0,10.06,138.90197,1,0.38,439.5,416.2,1.05598,695.65869,13.18047,1,21.71
23,1,0,0,10.57,155.44524,0,2.87,481.2,428.83,1.12212,1270.06578,21.81794,1,24.66
24,1,0,0,10.57,144.42178,0,6.2,481.1,457.44,1.05172,389.09536,12.51326,1,21.42
25,1,0,0,11.3,150.43159,0,2.68,507.6,437.47,1.16031,2939.26039,39.36883,1,23.34
26,1,0,0,9.77,149.94311,0,3.13,515.5,469.2,1.09868,1279.02238,26.21093,1,19.94
27,1,0,0,10.35,145.68706,0,6.42,531.6,533.87,0.99575,162.70017,9.45351,1,18.85
28,0,0,0,13.67,169.96117,1,0,571,491.67,1.16135,3862.04951,36.95091,1,30.25
29,1,0,0,10.08,161.18812,0,3.3,569.1,566.75,1.00415,71.29591,8.15388,1,23.76
30,0,0,0,10.04,262.09867,1,0,699.7,419.16,1.66929,11144.3601,45.68015,1,52.99
31,0,0,0,11.43,276.56896,2,0,605,494.39,1.22373,2627.47469,26.29575,1,49.82
32,1,0,0,10.02,142.92668,0,7.04,479.3,425.58,1.12623,1812.95533,18.69319,1,24.38
33,0,0,0,10.57,147.69131,1,0,489.2,473.35,1.03348,340.66942,12.40702,1,24.81
34,0,0,0,12.88,164.20163,1,0,541.4,454.98,1.18994,2441.43088,30.78873,1,25.03
35,1,0,0,11.83,125.1452,0,3.44,456.5,416.41,1.09628,872.80257,20.37907,1,20.07
36,1,0,0,9.78,114.64092,0,3.41,438.4,425.72,1.02978,154.96257,10.29116,1,19.34
37,0,0,1,0,8.75856,0,inf,6.6,0,inf,0,0,-nan,0
38,1,0,0,10.58,137.68268,0,7.46,449.3,416.46,1.07886,953.46321,15.21305,1,21.79
39,0,0,0,10.27,201.02618,1,0,625.6,484.27,1.29184,7499.03712,56.62062,1,32.85
40,0,0,0,12.34,138.1481,1,0,454.1,412.01,1.10216,1972.62085,19.36806,1,25.13
41,0,0,0,10.52,201.50602,1,0.47,618.8,452.37,1.36791,8482.24502,62.26669,1,31.32
42,0,0,0,12.28,220.53434,2,0,512.9,431.76,1.18793,2477.30771,19.11249,1,43.09
43,0,0,0,10.31,152.44403,2,0,489.5,455.58,1.07445,902.76022,13.09851,1,22.86
44,0,0,0,10.57,155.69296,2,0,494.3,429.3,1.15141,2309.93734,26.03573,1,32.69
45,1,0,0,11.07,168.20953,0,5.13,522.7,490.55,1.06554,614.06672,12.47728,1,24.82
46,1,0,0,10.06,129.66273,0,9.64,475.7,451.8,1.0529,261.83714,10.72291,1,18.03
47,0,0,0,10.57,141.41146,2,0,464.8,431,1.07842,556.46197,15.01281,1,23.76
48,0,0,0,11.87,142.66344,1,0,496.1,466.06,1.06446,529.11292,13.81628,1,27.83
49,1,0,0,10.63,161.44617,0,5.62,501.2,469.44,1.06766,660.68788,13.87937,1,26.43
