# vehicle_name=artemis
# start_point=x=-75,y=-300
# goal_point=x=175,y=-300
# timeout=300
# success_rate=0.44
# avg_planning_time=0
# avg_duration=129.963
# total_timeouts=1
# total_collisions=40
# total_planning_fails=0
# avg_min_dist_to_obs=4.579
# min_dist_to_obs=1.48
# avg_dist_traveled=463.841
# avg_path_len=429.965
# avg_dist_eff=1.079
# deviation_limit=5
# avg_total_deviation=4262.281
# max_deviation=57.987
# avg_energy_eff=1
# avg_total_speed_change=15.849
trial_num,trial_successful,timed_out, planning_failed,planning_time,duration,collision_count,min_dist_to_obs,dist_traveled,path_len,dist_eff,total_deviation,max_deviation,energy_eff,total_speed_change
0,0,0,0,0,115.0601,2,0,439.3,428.76,1.02458,3263.46376,26.39421,1,16.96
1,0,0,0,0,136.41177,3,0,446.4,429.81,1.0386,5007.78134,30.36181,1,18.8
2,1,0,0,0,141.69272,0,3.75,518.9,429.26,1.20882,8508.62922,57.98663,1,22.48
3,0,0,0,0,118.60019,2,0,454.7,428.86,1.06025,8140.06434,52.37649,1,16.96
4,1,0,0,0,121.87206,0,7.27,447.1,430.28,1.03909,3815.51998,21.52916,1,14.32
5,0,0,0,0,183.93542,1,0,642.8,431.24,1.49059,17041.00718,72.04481,1,35.85
6,0,0,0,0,123.14091,2,0,471.7,429.47,1.09833,7007.76493,43.85896,1,17.22
7,1,0,0,0,122.14551,0,3.13,462,430.56,1.07302,3741.24901,31.51945,1,17.84
8,0,1,0,0,300.00948,2,0,616.8,431.1,1.43076,3436.39348,27.8619,1,61.64
9,1,0,0,0,191.97284,0,2.98,497.5,430.15,1.15657,10311.01279,46.55366,1,20.74
10,1,0,0,0,117.3736,0,4.77,442.7,428.99,1.03196,2277.60154,19.27196,1,14.76
11,0,0,0,0,120.86712,1,0,444.2,430.04,1.03293,3167.64003,25.73522,1,15.42
12,1,0,0,0,138.20101,0,6.35,479.6,430.65,1.11367,5930.82265,31.01712,1,14.19
13,1,0,0,0,115.7975,0,6.4,432.1,428.5,1.0084,644.313,10.4804,1,14.55
14,1,0,0,0,112.53325,0,2.06,470.4,428.78,1.09707,1890.76865,20.93897,1,16.32
15,1,0,0,0,124.11424,0,4.86,446.3,429.18,1.03989,1260.4064,19.94516,1,20.15
16,0,0,0,0,144.4638,2,0,478.5,429.44,1.11424,7112.26858,32.35584,1,14.67
17,1,0,0,0,127.89838,0,6.32,457,428.63,1.06619,3910.93216,30.40725,1,15.23
18,1,0,0,0,143.74431,0,6.55,455.1,429.47,1.05968,4558.12382,37.17793,1,13.37
19,0,0,0,0,111.56887,2,0,438.8,428.95,1.02296,2912.52917,30.50727,1,15.61
20,1,0,0,0,125.14263,0,4,459.3,429.66,1.06898,3907.09821,30.2366,1,17.47
21,0,0,0,0,117.58518,1,0,437.7,429.13,1.01997,1256.72103,19.49267,1,16.87
22,0,0,0,0,122.86998,2,0,458.1,430.34,1.06451,2880.51587,24.72206,1,20.33
23,0,0,0,0,168.09163,2,0,568.4,431.44,1.31745,12845.71968,62.45715,1,25.41
24,1,0,0,0,128.90259,0,1.48,460.2,430.89,1.06802,3491.64753,32.92093,1,15.83
25,0,0,0,0,121.38288,2,0,441.5,429.38,1.02823,3370.47436,20.96567,1,16.93
26,0,0,0,0,108.5691,1,0,429.8,430.65,0.99803,846.02029,14.28377,1,12.96
27,0,0,0,0,193.75741,1,0.58,598.1,430.99,1.38774,19374.53337,57.94177,1,26.26
28,0,0,0,0,105.54502,1,0,434,430.33,1.00853,1588.06797,17.6253,1,11.75
29,0,0,0,0,143.71281,2,0,527.7,431.1,1.22408,4966.63552,31.11591,1,20.38
30,0,0,0,0,136.93618,1,0.57,469.8,430.27,1.09187,2756.46336,30.44337,1,17.35
31,1,0,0,0,123.40621,0,4.63,444.7,428.93,1.03677,862.92895,16.37636,1,13.42
32,0,0,0,0,102.80409,1,0,438.2,430.21,1.01857,2750.98625,28.99069,1,14.2
33,0,0,0,0,130.46373,1,0,458,431.7,1.06092,2040.76381,24.57874,1,20.05
34,0,0,0,0,128.36508,1,0.26,461.4,431.56,1.06914,3306.40316,28.01122,1,18.19
